メシウマスポット

タイトル,メモ,URL,タグ,コメント
粉吉うどん,さんた、まっすーアトリエからも近い。,https://www.google.com/maps/place/%E7%B2%89%E5%90%89%E3%81%86%E3%81%A9%E3%82%93/data=!4m2!3m1!1s0x60188e81557150a3:0xfbdebeef78396772,,
薩摩おごじょ 新宿店,鹿児島を感じれる。とても美味しい。喫煙可。,https://www.google.com/maps/place/%E8%96%A9%E6%91%A9%E3%81%8A%E3%81%94%E3%81%98%E3%82%87+%E6%96%B0%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188cdb7b58bbab:0xcd426062ed241616,,
ROCK FISH,1クリ奥野さんがおすすめしてた。バイボールがめちゃうまいらしい。,https://www.google.com/maps/place/ROCK+FISH/data=!4m2!3m1!1s0x60188beed991b4bd:0xe44b9b5891c07932,,
新世界グリル梵 銀座店,DLTの近くにあって差し入れとかもアツイナ,https://www.google.com/maps/place/%E6%96%B0%E4%B8%96%E7%95%8C%E3%82%B0%E3%83%AA%E3%83%AB%E6%A2%B5+%E9%8A%80%E5%BA%A7%E5%BA%97/data=!4m2!3m1!1s0x60188be7826e4671:0xa898765bc163ac4,,
中国料理 みわ亭,友田さん曰く、全てのメニューに驚きがある味,https://www.google.com/maps/place/%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86+%E3%81%BF%E3%82%8F%E4%BA%AD/data=!4m2!3m1!1s0x6000e6620838655f:0x14a46e425fc81ade,,
元祖 釜めし春,釜めしの発祥の地,https://www.google.com/maps/place/%E5%85%83%E7%A5%96+%E9%87%9C%E3%82%81%E3%81%97%E6%98%A5/data=!4m2!3m1!1s0x60188f8e7d08b77f:0x30205df3e11eeaa3,,
鮨処あすか 新町店,竹内さん、横山さんおすすめの寿司,https://www.google.com/maps/place/%E9%AE%A8%E5%87%A6%E3%81%82%E3%81%99%E3%81%8B+%E6%96%B0%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x5f9b9f1e70e298c5:0xeb3c15c3d9cf605d,,
青森タコスHAPPY STANDARD／TACOS CAFE＆BAR（ハピスタ）,竹内さんおすすめ,https://www.google.com/maps/place/%E9%9D%92%E6%A3%AE%E3%82%BF%E3%82%B3%E3%82%B9HAPPY+STANDARD%EF%BC%8FTACOS+CAFE%EF%BC%86BAR%EF%BC%88%E3%83%8F%E3%83%94%E3%82%B9%E3%82%BF%EF%BC%89/data=!4m2!3m1!1s0x5f9b9f007b6d63c9:0xb59919d3885f84eb,,
いろは寿司 本店,安くてうまい寿司,https://www.google.com/maps/place/%E3%81%84%E3%82%8D%E3%81%AF%E5%AF%BF%E5%8F%B8+%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188b4e85b7cae1:0xb73626a4c08c7c56,,
さかなや 魚炉り,まっすーおすすめの入谷居酒屋,https://www.google.com/maps/place/%E3%81%95%E3%81%8B%E3%81%AA%E3%82%84+%E9%AD%9A%E7%82%89%E3%82%8A/data=!4m2!3m1!1s0x60188f368238667d:0x82f0bddafeda74a5,,
